#StationName  TWD97 - 250000 meters					WGS84(latitude,longitude)
復興路	32108.564376422655,2746937.323052512	24.8295637,121.3176577
復興路	53970.422538404826,2764528.251366422	24.9877604,121.5346203
復興路	25931.322411449833,2681068.1922673825	24.2349582,121.2553395
復興路	29447.068561573309,2752418.4322454883	24.8791032,121.2914431
復興路	-34331.739796292874,2668639.0118768052	24.1225713,120.6622401
復興路	42256.507161216017,2764617.9245570074	24.9889416,121.4185901
復興路	48418.732747913418,2775800.5155599443	25.089714,121.4800239
復興路	-31801.722173226364,2670142.6062372816	24.1362007,120.6870974
復興路	-35307.302830057168,2667597.8010723614	24.1131484,120.6526679
復興路	22674.940348001361,2760908.1083344095	24.9558673,121.2245573
復興路	76859.680289721044,2732461.1941679018	24.697279,121.7595742
復興路	77446.342149393167,2731531.9295592112	24.6888602,121.7653203
復興路	77723.2100015564,2730967.9775566836	24.6837549,121.7680249
復興路	45319.35859087167,2770608.6896156282	25.0429383,121.4491265
復興路	46070.386033028095,2770764.5356753571	25.0443226,121.4565744
復興路	50817.768849551423,2764794.3096810724	24.9902713,121.5034015
復興路	73246.813631517754,2782149.5245641228	25.1460293,121.7264956
復興路	46593.659387891952,2770785.2851343723	25.0444939,121.4617608
復興路	-33028.367839309147,2669589.1299545262	24.131178,120.675041
復興路	82960.424249764459,2750976.6147809695	24.8641138,121.8209597
復興路	-57144.968154372611,2661269.4164411305	24.0553698,120.4380977
復興路	-37603.766479513833,2656779.0079615456	24.0154091,120.630357
復興路	72996.2322213819,2737815.0205301451	24.7458017,121.7216744
復興路	78696.6832409488,2733126.8816098361	24.7031958,121.7777646
復興路	-3163.4245986325136,2743981.4195211385	24.8032102,120.96871
復興路	-16763.206080400956,2718109.7666636161	24.5695336,120.8345011
復興路	-17702.568311005147,2716419.7843884118	24.5542645,120.8252482
民權路口	46798.860751233253,2767060.7202566084	25.010862,121.463668
捷運三民高中站(復興路)	47751.130445565628,2775326.5146319647	25.085456,121.473389
捷運三民高中站	47751.130445565628,2775326.5146319647	25.085456,121.473389
鷺江國小(三民)	47989.111587499807,2775034.150376854	25.082809,121.475738
鷺江國小(三民)	41121.936107581809,2772071.53247873	25.0562649,121.4075735
溪墘	48084.265491261329,2774883.1780909006	25.081443,121.476676
捷運徐匯中學站(集賢路)	48386.871188736055,2774804.9395656697	25.080727,121.479673
尼加拉瓜公園	48550.976096591294,2775182.41861117	25.0841296,121.4813131
集賢路	49092.118727772104,2775737.0069755241	25.0891189,121.4866974
五華街口	23496.523472776291,2760079.8397478363	24.9483769,121.2326796
分子尾	49373.395618247254,2775405.9541159631	25.086121,121.489474
新北高中	49360.499000733231,2775468.6237721066	25.0866872,121.4893484
五華國小	49671.267036627665,2775618.3247625777	25.0880285,121.4924346
重陽橋	51278.512781490761,2775426.8337547146	25.086246,121.508361
士林區行政中心(基河)	52490.992172544546,2776139.2547275461	25.092636,121.520408
公教住宅	55676.454277596975,2772326.5212650704	25.058101,121.551834
士林市場(銘傳會館)	52820.036140541641,2775641.8495204742	25.088134,121.523651
大南路口	52655.99392551418,2775674.2235761378	25.088432,121.522026
士商路	52257.654279758011,2776189.01200039	25.0930933,121.5180966
民和公寓	48333.787090749138,2774839.7536221067	25.081043,121.479148
鷺江國小	48101.833319350386,2775307.6988405334	25.085275,121.476865
民族路口	31224.2597680875,2764755.9493533317	24.990455,121.30931
富洲里	46959.269899263345,2777522.6197159826	25.1053072,121.465614
台北海院	47489.071050260609,2777841.2287013177	25.108167,121.470878
台北海院	43054.675580439987,2787047.1857154579	25.191411,121.427199
台北海院	47552.088128947711,2777903.9213081188	25.108731,121.471505
浮線	47657.414756306389,2777663.4816361484	25.106557,121.472541
富洲里九段	47833.750028588845,2777623.7805953878	25.106193,121.474288
富洲里九段	47652.092088817844,2777714.6374499067	25.107019,121.47249
富洲里九段	47755.387786983651,2777709.1286278679	25.106966,121.473514
富洲里九段	47967.877044354558,2777684.5097322734	25.106737,121.47562
富洲里九段	47868.934554124644,2777713.9579685926	25.107006,121.47464
富洲里九段	47438.396463997007,2777825.3231364517	25.108025,121.470375
富洲里九段	47447.631660486877,2777808.8510032753	25.107876,121.470466
富洲里九段	47795.852104481673,2777674.3789152037	25.106651,121.473914
富洲里九段	47710.256475932023,2777723.0378731643	25.107093,121.473067
富洲里九段	47431.970298722576,2777875.0352116665	25.108474,121.470313
富洲里九段	48015.852238287458,2777622.16177106	25.1061726,121.4760935
富洲里九段	47985.572148700659,2777643.0343584865	25.106362,121.475794
富洲里九段	48035.059983286163,2777586.5292265206	25.1058503,121.4762827
富洲里九段	47656.560939864015,2777648.0820101397	25.106418,121.472532
富洲里九段	47644.704129816528,2777866.0525121456	25.1083862,121.472422
富洲里九段	47531.672386169928,2777745.80741191	25.1073042,121.4712971
富洲里九段	48015.650474936607,2777573.5453224555	25.1057337,121.4760898
富洲里九段	47914.094325502236,2777606.0190515053	25.1060301,121.475084
富洲里九段	48092.111868240761,2777593.0443061325	25.1059073,121.4768486
威靈廟	48031.663611005504,2777585.8194140638	25.105844,121.476249
下溪沙尾	48286.415842807968,2777589.2679153597	25.105867,121.478775
建安新村	48539.547638717908,2777594.5984528186	25.105907,121.481285
富安國小	48670.283807017258,2777587.4220972988	25.105838,121.482581
富洲里八段	48875.191349643806,2777540.6367253382	25.105409,121.484611
富洲里八段	48657.68799764353,2777589.9025841868	25.1058608,121.4824562
富洲里八段	48307.165074049146,2777767.5549876112	25.1074759,121.478987
富洲里八段	48527.412108633958,2777433.9426193302	25.104457,121.481159
富洲里八段	48925.593248120305,2777632.3115482945	25.106235,121.485114
富洲里八段	48783.494550797295,2777686.2993351687	25.106727,121.483707
富洲里八段	48734.461212884489,2777381.070530931	25.103973,121.48321
富洲里八段	48194.003843661572,2777482.9252421153	25.1049099,121.477855
富洲里八段	48286.49140988772,2777653.2916690959	25.106445,121.478778
富洲里八段	48735.509499077045,2777567.2741618347	25.105654,121.483227
富洲里八段	48776.312980595605,2777494.9783955636	25.105,121.483629
富洲里八段	48891.522143967471,2777458.6056528809	25.1046679,121.48477
富洲里八段	48709.281769498069,2777653.2354801265	25.1064309,121.48297
富洲里八段	48706.983896289683,2777900.9141671495	25.108667,121.482956
富洲里八段	49057.526762329777,2777264.6950917547	25.1029119,121.486409
富洲里八段	48843.08616047712,2777549.71523742	25.105492,121.484293
富洲里八段	48397.313607838558,2777687.0149378567	25.1067459,121.479878
富洲里八段	49004.800166823428,2777538.6545117856	25.1053869,121.485896
